1.63368e+08 -4794.57 -1129.16 -13556 -10107 -5034.59 3527.76 -1386.51 35.4725 -5279.45 60.7252 136.808 141.478 90.5813 48.51 26.9118 -31.7304 -72.2358 -80.1287 -434.312 -261.858 -488.723 -243.179 -296.187 -789.298 -425.479 -1282.21 -841.964 -529.703 -605.71 -536.552 -282.687 -301.884 -229.53 -276.672 -57.7172 -377.949 -424.777 -321.072 -191.01 45.7358 -268.378 -206.191 -18.3472 -300.815 -0.00117665 0.000306 
-529.703 0.01681 0.00949952 0.0915667 0.0476468 0.0249494 -0.0239871 0.00525355 0.0011461 0.01617 0.00122301 0.00188958 0.00279921 0.00412333 0.00542188 0.00577549 0.00624661 0.00665896 0.00696528 0.00492158 0.00392236 0.00552353 0.00312282 0.0036071 0.00695039 0.00582202 0.0151414 0.000746526 0.0261384 0.00150098 0.00694677 0.00368082 0.00368118 0.00304393 0.00361635 0.00151966 0.00432787 0.00859704 0.00531269 0.00417501 0.000351931 0.0034588 0.00230033 0.000921652 0.00134273 7.23841e-09 -3.2283e-09 
-605.71 0.0292717 0.0212196 0.106377 0.08861 0.0488896 -0.0617639 -0.000940253 -0.0112288 0.0190953 0.00115471 0.00196432 0.00331164 0.00489902 0.00635995 0.00674907 0.00719155 0.00765447 0.00783088 0.00571231 0.00481542 0.00580945 0.00250347 0.00387356 0.00874024 0.00491335 0.0149356 0.011928 0.00150098 0.0224703 0.00391362 0.00430955 0.00442901 0.00334697 0.00472524 0.00122223 0.00565944 0.0105433 0.00671168 0.00437033 0.000321619 0.00430564 0.00351679 0.00104699 0.0028091 1.43755e-08 -7.47991e-09 
-536.552 0.027989 0.0201144 0.10316 0.0916831 0.0507759 -0.0735331 -0.00687501 -0.0193586 0.0161832 0.00112229 0.00197252 0.00316952 0.00482988 0.00607898 0.00653841 0.00692784 0.00720473 0.00741847 0.00491766 0.00443785 0.0055378 0.00221842 0.00302638 0.00875712 0.00406599 0.014448 0.00968358 0.00694677 0.00391362 0.0173039 0.00139374 0.00422672 0.00314006 0.00409265 0.00123107 0.0056702 0.0095134 0.00631225 0.0042733 9.52839e-05 0.00457217 0.00357148 0.000777825 0.00297135 1.54815e-08 -8.52296e-09 
-282.687 0.0147328 0.00983044 0.0566781 0.0457495 0.0249037 -0.034743 0.00217019 -0.00303498 0.00624441 0.000676358 0.00102036 0.00155919 0.00238001 0.00313521 0.0034074 0.00365283 0.00380261 0.00390341 0.00274056 0.00229552 0.00302636 0.00120711 0.0016706 0.00467019 0.00272185 0.00782298 0.00522205 0.00368082 0.00430955 0.00139374 0.00961598 0.00022452 0.00193882 0.00218417 0.000794076 0.00290174 0.00514675 0.003666 0.00273159 0.000312057 0.00248752 0.00186555 0.000688432 0.00147872 7.31555e-09 -3.8428e-09 
-301.884 0.0172417 0.0108695 0.0548171 0.0501938 0.0274376 -0.036777 -0.000831878 -0.00813159 0.00825763 0.000635713 0.00112324 0.00172639 0.00250379 0.00320783 0.00357924 0.00379032 0.00390219 0.00386471 0.00286123 0.00215163 0.00316264 0.00129589 0.00195017 0.00465505 0.00219533 0.00795886 0.00556357 0.00368118 0.00442901 0.00422672 0.00022452 0.00898662 2.29493e-05 0.00269648 0.000568385 0.00312621 0.00574717 0.00361517 0.00246802 0.000155034 0.00265513 0.00223968 0.000658528 0.00186733 8.25619e-09 -4.44314e-09 
-229.53 0.0138355 0.00992363 0.0469021 0.0465339 0.0258705 -0.0402445 -0.00305213 -0.00915161 0.00648937 0.000535458 0.00100083 0.00150749 0.00219267 0.002807 0.00296027 0.00299107 0.00299799 0.00307335 0.00204965 0.00200811 0.00247708 0.000793502 0.00104903 0.00408728 0.00170389 0.00624436 0.00421424 0.00304393 0.00334697 0.00314006 0.00193882 2.29493e-05 0.00773043 -0.000462483 0.000982308 0.00261759 0.00437636 0.00303072 0.00216454 3.66609e-05 0.00217877 0.00161848 0.000459168 0.00176987 7.53501e-09 -4.02987e-09 
-276.672 0.0158017 0.0110194 0.0657549 0.0522581 0.0278973 -0.0364545 -0.00175345 -0.00867616 0.0113113 0.000572328 0.000836388 0.001577 0.00261118 0.00345243 0.00352839 0.00369565 0.00405819 0.00429218 0.00298569 0.00229272 0.00313647 0.00139983 0.0020929 0.0046354 0.00212108 0.00826808 0.00544774 0.00361635 0.00472524 0.00409265 0.00218417 0.00269648 -0.000462483 0.0117178 -0.0016166 0.00407662 0.00686409 0.00421447 0.00297151 0.000400103 0.00276858 0.00247045 0.000847497 0.00177328 8.06063e-09 -4.11316e-09 
-57.7172 0.00380367 0.00230004 0.0101021 -0.00230981 -0.00350958 0.00514003 0.00339935 0.00376296 0.00261218 0.000191319 0.000294456 0.000347477 0.000604834 0.00076075 0.000943911 0.00091726 0.00101959 0.00134417 0.000602404 0.00102831 0.00130739 0.000767992 0.000829094 0.00107093 0.00150935 0.00206931 0.00169383 0.00151966 0.00122223 0.00123107 0.000794076 0.000568385 0.000982308 -0.0016166 0.00843185 -0.00201195 0.00319542 0.00154779 0.00105274 0.000431351 0.000829383 0.000323583 0.000292762 0.000391287 -8.45637e-10 1.01888e-09 
-377.949 0.0283365 0.0202838 0.0880658 0.0936051 0.0520222 -0.081072 -0.011324 -0.023459 0.0163747 0.000772617 0.00125879 0.00221331 0.00362907 0.00465433 0.00480383 0.00492257 0.00509137 0.00526303 0.00358355 0.00349011 0.00407487 0.00120668 0.00202147 0.00725219 0.00189448 0.0110376 0.00700833 0.00432787 0.00565944 0.0056702 0.00290174 0.00312621 0.00261759 0.00407662 -0.00201195 0.0172622 0.0037512 0.00678389 0.0041704 0.000198667 0.0042316 0.00371757 0.00112229 0.00328658 1.57561e-08 -8.61963e-09 
-424.777 0.0371661 0.022356 0.135043 0.0947233 0.0483931 -0.0704047 -0.00944839 -0.022871 0.0284328 0.00140763 0.00227114 0.00398813 0.00617944 0.0080221 0.00819158 0.00880515 0.0095572 0.00982761 0.0069579 0.00545905 0.00761726 0.0035518 0.00464771 0.011027 0.0057458 0.0187554 0.012694 0.00859704 0.0105433 0.0095134 0.00514675 0.00574717 0.00437636 0.00686409 0.00319542 0.0037512 0.0465847 0.00569678 0.0098951 0.0017684 0.00824475 0.00645148 0.002998 0.00456287 1.65994e-08 -7.93895e-09 
