process[Recruitment].b0 age_length[asMm0].linf age_length[asMm0].cv_last selectivity[potSurveySel_male].a50 selectivity[potSurveySel_male].ato95 selectivity[potSurveySel_female].a50 selectivity[potSurveySel_female].ato95 process[Recruitment].recruitment_multipliers{1983} process[Recruitment].recruitment_multipliers{1984} process[Recruitment].recruitment_multipliers{1985} process[Recruitment].recruitment_multipliers{1986} process[Recruitment].recruitment_multipliers{1987} process[Recruitment].recruitment_multipliers{1988} process[Recruitment].recruitment_multipliers{1989} process[Recruitment].recruitment_multipliers{1990} process[Recruitment].recruitment_multipliers{1991} process[Recruitment].recruitment_multipliers{1992} process[Recruitment].recruitment_multipliers{1993} process[Recruitment].recruitment_multipliers{1994} process[Recruitment].recruitment_multipliers{1995} process[Recruitment].recruitment_multipliers{1996} process[Recruitment].recruitment_multipliers{1997} process[Recruitment].recruitment_multipliers{1998} process[Recruitment].recruitment_multipliers{1999} process[Recruitment].recruitment_multipliers{2000} process[Recruitment].recruitment_multipliers{2001} process[Recruitment].recruitment_multipliers{2002} process[Recruitment].recruitment_multipliers{2003} process[Recruitment].recruitment_multipliers{2004} process[Recruitment].recruitment_multipliers{2005} process[Recruitment].recruitment_multipliers{2006} process[Recruitment].recruitment_multipliers{2007} process[Recruitment].recruitment_multipliers{2008} process[Recruitment].recruitment_multipliers{2009} process[Recruitment].recruitment_multipliers{2010} process[Recruitment].recruitment_multipliers{2011} process[Recruitment].recruitment_multipliers{2012} process[Recruitment].recruitment_multipliers{2013} process[Recruitment].recruitment_multipliers{2014} process[Recruitment].recruitment_multipliers{2015} process[Recruitment].recruitment_multipliers{2016} process[Recruitment].recruitment_multipliers{2017} 
14561.2 46.7784 0.1 3.03766 0.191249 3.30703 1.03761 0.234624 0.232319 0.234411 0.244364 0.268566 0.320837 0.424753 0.612818 0.915665 1.4181 1.51893 1.01275 0.845766 0.858467 1.0938 1.4923 1.02713 0.794752 0.817792 0.634578 0.813379 0.747801 0.45632 1.03192 0.876495 0.377965 0.909877 0.69749 0.827699 0.425379 1.29262 0.695816 0.755307 0.581353 0.452441 
covariance_matrix:
-2.51909 -0.00630868 0 0.000172711 0.000230698 0.00106621 0.0067102 0.00067718 0.000667276 0.000700065 0.000817847 0.00108341 0.00175213 0.0041839 0.002903 0.00162872 0.0118005 0.00211728 -0.000145215 0.012045 0.00753398 0.0124808 -0.00867598 0.00843626 0.0102063 -0.00726432 -0.00559744 -0.0131017 0.055485 -0.00139061 -0.0012477 0.00226682 0.00134987 0.00296006 0.00228137 0.00354397 0.00162814 0.00481342 0.00297921 0.00394992 0.00314815 0.00178009 
-4.88317 0.00500792 0 -0.00069755 -0.00377652 -0.000172553 -0.00124618 0.000779404 0.000770225 0.000785817 0.000845504 0.000967398 0.00125753 0.000572413 0.00239039 -0.00167813 0.0136998 -0.000533828 0.00426494 0.002569 0.00101637 -0.00271339 0.00959424 0.000116304 0.00434455 0.00180088 -0.000447552 -0.00315787 -0.00139061 0.0212807 0.00111228 0.000856087 0.000738353 0.00207596 0.0016065 0.00148442 0.00107542 0.00297736 0.0016209 0.00128855 0.000887309 0.000780297 
-20.9386 0.0454855 0 -0.0038402 -0.0195349 -0.00253909 -0.00678937 0.000943878 0.000937538 0.000969321 0.00107577 0.00129513 0.00192315 0.0015144 0.00579536 -0.00500514 0.0239119 0.0137388 0.00919621 0.0106058 0.00306049 -0.00848073 0.0224197 0.00278104 0.013051 0.00504344 0.000483478 -0.00281339 -0.0012477 0.00111228 0.0517619 0.00212016 0.0018312 0.00528296 0.00311098 0.00470371 0.00279426 0.00760117 0.00378862 0.00307878 0.00188162 0.00145541 
-18.2273 0.0572259 0 -0.00353528 -0.0182324 -0.00202008 -0.00618951 0.000762648 0.000757611 0.000770341 0.000804293 0.000880028 0.00113338 0.000774964 0.00326912 -0.00687475 0.0202802 0.0111943 0.00819509 0.00755717 0.00141379 -0.00419899 0.0170419 0.00444184 0.0109392 0.00495702 0.0018887 0.000510078 0.00226682 0.000856087 0.00212016 0.0325882 0.00189987 0.00205899 0.00337428 0.00338871 0.00228887 0.00717233 0.00355765 0.00258393 0.000942239 0.000733142 
-2.92481 0.00910827 0 -0.00090708 -0.00423649 -0.000892913 -0.00118383 0.000321457 0.000313611 0.000330462 0.000388955 0.000517286 0.000743163 0.000811669 0.0020787 -0.000254927 0.00508413 0.00367035 0.00268978 0.00339022 0.00173941 -0.000817161 0.00479895 0.00162446 0.00445193 0.00179999 0.000330943 0.000789269 0.00134987 0.000738353 0.0018312 0.00189987 0.00758572 0.00105751 0.000503211 0.00144534 0.000933725 0.00265586 0.00119834 0.0013051 0.00118288 0.00101592 
2.94794 -0.00946432 0 0.00998957 0.0519244 0.00319642 0.0130773 0.000983024 0.00100786 0.00106276 0.00117395 0.00139607 0.00186031 0.00310278 0.00682736 -0.00108298 0.010102 0.0113894 0.00698446 0.00946163 0.00487669 0.000961653 0.00604402 0.000973027 0.012532 0.00345665 0.00341549 0.00294573 0.00296006 0.00207596 0.00528296 0.00205899 0.00105751 0.0224654 0.000880583 0.00228407 0.00188688 0.00699575 0.00249468 0.00351417 0.00295777 0.0029663 
-2.59021 0.00570132 0 -0.00399572 -0.025081 0.00237159 -0.00873809 0.000950478 0.000941122 0.000946223 0.000980664 0.00106449 0.00131516 0.000909026 0.00356394 -0.00265989 0.0106525 0.00703418 0.0030978 0.0066555 0.0040549 -0.00178868 0.0126077 0.00288163 0.00837515 0.00313949 0.00022293 0.00154054 0.00228137 0.0016065 0.00311098 0.00337428 0.000503211 0.000880583 0.0202554 0.00264099 0.00133823 0.00302634 0.00283897 0.00231377 0.00183515 0.00167962 
-1.04434 0.00933812 0 -0.00347377 -0.0174309 -0.00192559 -0.00481456 0.000891133 0.000897725 0.000917901 0.000962333 0.00105609 0.00121172 0.00138814 0.0047151 -0.00371637 0.0157388 0.00888639 0.00668018 0.00771621 0.00352067 -0.00303271 0.0113258 0.00245529 0.0111201 0.00388714 0.00337395 0.00320889 0.00354397 0.00148442 0.00470371 0.00338871 0.00144534 0.00228407 0.00264099 0.0236781 0.00165676 0.00600559 0.00297891 0.00375747 0.00279399 0.00104214 
1.82313 0.00400627 0 -0.00099689 -0.00472903 -0.000550024 -0.00116799 0.000441897 0.000437186 0.000452581 0.000504735 0.000616135 0.000808488 0.00105567 0.00263048 -0.00123136 0.00606419 0.00558459 0.00327908 0.00358955 0.00170177 -4.42662e-05 0.00405291 0.00172605 0.00525246 0.00223678 0.0013876 0.00155264 0.00162814 0.00107542 0.00279426 0.00228887 0.000933725 0.00188688 0.00133823 0.00165676 0.00865216 0.00364152 0.0019546 0.00249252 0.00197506 0.00151194 
10.4098 0.0121784 0 0.00959755 0.0501111 0.00301924 0.0120941 0.00123652 0.0012502 0.00128427 0.00135567 0.00151112 0.002038 0.00442521 0.0107658 -0.00587691 0.00767042 0.0197382 0.00689663 0.015381 0.00741589 -0.00202068 0.0129309 0.00160866 0.0165115 0.0052408 0.003558 0.00414281 0.00481342 0.00297736 0.00760117 0.00717233 0.00265586 0.00699575 0.00302634 0.00600559 0.00364152 0.0323225 0.00602581 0.00690834 0.00559079 0.00512002 
